Name,Reference,CPU,GPU,RAM,Storage,Refresh screen,Color,Price,Garentie,Availability
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2607XFR-SS],Intel Core i5-13420H,RTX 2050,8 Go,512 Go,144 Hz,Gris Cosmos,"2 025,000 DT",1,En stock
PC Portable Gamer Lenovo LOQ 15IAX9E ,[83LK0075FG-2Y],Intel Core i5-12450HX,RTX 2050,16 Go,512 Go,144 Hz,Gris Luna,"2 049,000 DT",2,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2607XFR],Intel Core i5-13420H,RTX 2050,8 Go,512 Go,144 Hz,Gris Cosmos,"2 075,000 DT",1,En stock
PC Portable ASUS TUF Gaming A15 FA506NF ,[FA506NF-HN005W],AMD Ryzen 5,RTX 2050,8 Go,512 Go,N/A,Noir,"2 089,000 DT",1,En stock
PC Portable Gamer Lenovo LOQ 15IAX9E ,[83LK006SFG-2Y],Intel Core i5-12450HX,RTX 2050,16 Go,512 Go,144 Hz,Gris Luna,"2 099,000 DT",2,En stock
PC Portable Gamer Lenovo LOQ 15IAX9E ,[83LK0075FG-2Y-W11P],Intel Core i5-12450HX,RTX 2050,16 Go,512 Go,144 Hz,Gris Luna,"2 099,000 DT",2,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2607XFR-W11P],Intel Core i5-13420H,RTX 2050,8 Go,512 Go,144 Hz,Gris Cosmos,"2 125,000 DT",1,En stock
Pc Portable Gamer HP Victus Gaming 15-Fa1007nk ,[9U175EA-SAC],Intel Core i5-13420H,RTX 2050,8 Go,512 Go,micro,Noir,"2 149,000 DT",1,En stock
PC Portable Gamer HP Victus Gaming Laptop 15-Fa1006nk ,[9U1B9EA],Intel Core i5-13420H,RTX 2050,8 Go,512 Go,micro,Bleu performance,"2 149,000 DT",1,En stock
Pc Portable Gamer HP Victus Gaming 15-Fa1007nk ,[9U175EA],Intel Core i5-13420H,RTX 2050,8 Go,512 Go,micro,Noir,"2 149,000 DT",1,En stock
PC Portable Gamer HP Victus Gaming Laptop 15-Fa1006nk ,[9U1B9EA-SAC],Intel Core i5-13420H,RTX 2050,8 Go,512 Go,micro,Bleu performance,"2 149,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2607XFR-16-SS],Intel Core i5-13420H,RTX 2050,16 Go,512 Go,144 Hz,Gris Cosmos,"2 195,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2607XFR-16],Intel Core i5-13420H,RTX 2050,16 Go,512 Go,144 Hz,Gris Cosmos,"2 245,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2607XFR-16-W11P],Intel Core i5-13420H,RTX 2050,16 Go,512 Go,144 Hz,Gris Cosmos,"2 295,000 DT",1,En stock
"PC Portable Gamer ASUS Vivobook 16X I5-13420H 8GB 512SSD RTX30504GO W11 16"" WUXGA SILVER",[K3605VC-RP488W-SS],Intel Core i5-13420H,RTX 3050 4,8 Go,512 Go,144 Hz,Silver,"2 295,000 DT",1,En stock
"PC Portable Gamer ASUS Vivobook 16X I5-13420H 8GB 512SSD RTX30504GO W11 16"" WUXGA BLACK",[K3605VC-RP405W-SS],Intel Core i5-13420H,RTX 3050 4,8 Go,512 Go,144 Hz,Noir,"2 295,000 DT",1,En stock
Pc Portable Gamer HP Victus Gaming 15-Fa1007nk ,[9U175EA-16-SAC],Intel Core i5-13420H,RTX 2050,16 Go,512 Go,micro,Noir,"2 299,000 DT",1,En stock
Pc Portable Gamer HP Victus Gaming 15-Fa1007nk ,[9U175EA-16],Intel Core i5-13420H,RTX 2050,16 Go,512 Go,micro,Noir,"2 299,000 DT",1,En stock
PC Portable Gamer HP Victus Gaming Laptop 15-Fa1006nk ,[9U1B9EA-16],Intel Core i5-13420H,RTX 2050,16 Go,512 Go,micro,Bleu performance,"2 309,000 DT",1,En stock
PC Portable Gamer HP Victus Gaming Laptop 15-Fa1006nk ,[9U1B9EA-16-SAC],Intel Core i5-13420H,RTX 2050,16 Go,512 Go,micro,Bleu performance,"2 309,000 DT",1,En stock
Pc Portable Gamer Lenovo LOQ 15IAX9 ,[83GS00SKFG-2Y],Intel Core i5-12450HX,RTX 2050,12 Go,512 Go,antireflet,Gris Luna,"2 329,000 DT",2,En stock
"PC Portable Gamer ASUS Vivobook 16X I5-13420H 8GB 512SSD RTX30504GO W11 16"" WUXGA BLACK + SAC A DOS",[K3605VC-RP405W],Intel Core i5-13420H,RTX 3050 4,8 Go,512 Go,144 Hz,Noir,"2 339,000 DT",1,En stock
"PC Portable Gamer ASUS Vivobook 16X I5-13420H 8GB 512SSD RTX30504GO W11 16"" WUXGA SILVER + SAC A DOS",[K3605VC-RP488W],Intel Core i5-13420H,RTX 3050 4,8 Go,512 Go,144 Hz,Silver,"2 339,000 DT",1,En stock
Pc Portable Gamer ASUS V16 V3607VJ ,[V3607VJ-RP086-SS],Intel Core 5,RTX 3050,8 Go,512 Go,144 Hz,Noir,"2 339,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2606XFR-SS],Intel Core i7-13620H,RTX 2050,8 Go,512 Go,144 Hz,Gris Cosmos,"2 345,000 DT",1,En stock
"PC Portable Gamer ASUS Vivobook 16X I5-13420H 12GB 512SSD RTX30504GO W11 16"" WUXGA BLACK",[K3605VC-RP405W-12-SS],Intel Core i5-13420H,RTX 3050 4,12 Go,512 Go,144 Hz,Noir,"2 355,000 DT",1,En stock
"PC Portable Gamer ASUS Vivobook 16X I5-13420H 12GB 512SSD RTX30504GO W11 16"" WUXGA SILVER",[K3605VC-RP488W-12-SS],Intel Core i5-13420H,RTX 3050 4,12 Go,512 Go,144 Hz,Silver,"2 355,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2607XFR-24-SS],Intel Core i5-13420H,RTX 2050,24 Go,512 Go,144 Hz,Gris Cosmos,"2 355,000 DT",1,En stock
Pc Portable ASUS Vivobook S14 S3407QA ,[S3407QA-SF065W],N/A,N/A,16 Go,512 Go,dalle IPS,Gris mat argenté froid,"2 359,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13UDX ,[B13UDX-3258XFR],Intel Core i5-13420H,RTX 3050,8 Go,512 Go,144 Hz,Gris Cosmos,"2 369,000 DT",1,En stock
Pc Portable Gamer ASUS V16 V3607VJ ,[V3607VJ-RP086],Intel Core 5,RTX 3050,8 Go,512 Go,144 Hz,Noir,"2 379,000 DT",1,En stock
Portable Gaming HP Victus Gaming 15-Fa2029nk ,[C65BCEA],Intel Core i7-13620H,RTX 2050,8 Go,512 Go,IPS,Argent mica,"2 389,000 DT",1,En stock
Pc Portable Gamer HP Victus Gaming 15-Fa1007nk ,[9U175EA-24],Intel Core i5-13420H,RTX 2050,24 Go,512 Go,micro,Noir,"2 389,000 DT",1,En stock
Pc Portable Gamer HP Victus Gaming 15-Fa1007nk ,[9U175EA-24-SAC],Intel Core i5-13420H,RTX 2050,24 Go,512 Go,micro,Noir,"2 389,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2606XFR],Intel Core i7-13620H,RTX 2050,8 Go,512 Go,144 Hz,Gris Cosmos,"2 389,000 DT",1,En stock
PC Portable ASUS TUF Gaming A15 FA506NF ,[FA506NF-HN005W-16],AMD Ryzen 5,RTX 2050,16 Go,512 Go,N/A,Noir,"2 389,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2606XFR-SSW11P],Intel Core i7-13620H,RTX 2050,8 Go,512 Go,144 Hz,Gris Cosmos,"2 395,000 DT",1,En stock
"PC Portable Gamer ASUS Vivobook 16X I5-13420H 12GB 512SSD RTX30504GO W11 16"" WUXGA SILVER + SAC A DOS",[K3605VC-RP488W-12],Intel Core i5-13420H,RTX 3050 4,12 Go,512 Go,144 Hz,Silver,"2 399,000 DT",1,En stock
"PC Portable Gamer ASUS Vivobook 16X I5-13420H 12GB 512SSD RTX30504GO W11 16"" WUXGA BLACK + SAC A DOS",[K3605VC-RP405W-12],Intel Core i5-13420H,RTX 3050 4,12 Go,512 Go,144 Hz,Noir,"2 399,000 DT",1,En stock
PC Portable ASUS TUF Gaming A15 FA506NFR ,[FA506NFR-HN005W],AMD Ryzen 7,RTX 2050,8 Go,512 Go,N/A,Noir,"2 399,000 DT",1,En stock
Pc Portable Gamer ASUS V16 V3607VJ ,[V3607VJ-RP086-W11P-SS],Intel Core 5,RTX 3050,8 Go,512 Go,144 Hz,Noir,"2 399,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2607XFR-24],Intel Core i5-13420H,RTX 2050,24 Go,512 Go,144 Hz,Gris Cosmos,"2 405,000 DT",1,En stock
Pc Portable Gamer HP Victus Gaming 15-Fb3008nk ,[C65BFEA],AMD Ryzen 5,RTX 2050,8 Go,512 Go,IPS,Noir,"2 419,000 DT",1,En stock
Pc Portable Gamer ASUS V16 V3607VJ ,[V3607VJ-RP086-W11P],Intel Core 5,RTX 3050,8 Go,512 Go,144 Hz,Noir,"2 429,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2606XFR-W11P],Intel Core i7-13620H,RTX 2050,8 Go,512 Go,144 Hz,Gris Cosmos,"2 439,000 DT",1,En stock
PC Portable Gamer HP Victus Gaming Laptop 15-Fa1006nk ,[9U1B9EA-24-SAC],Intel Core i5-13420H,RTX 2050,8 Go,512 Go,micro,Bleu performance,"2 439,000 DT",1,En stock
PC Portable Gamer HP Victus Gaming Laptop 15-Fa1006nk ,[9U1B9EA-24],Intel Core i5-13420H,RTX 2050,8 Go,512 Go,micro,Bleu performance,"2 439,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13UDX ,[B13UDX-3258XFR-W11P],Intel Core i5-13420H,RTX 3050,8 Go,512 Go,144 Hz,Gris Cosmos,"2 449,000 DT",1,En stock
Pc Portable ASUS Vivobook S14 S3407QA ,[S3407QA-SF066W],N/A,N/A,16 Go,1 To,dalle IPS,Gris mat argenté froid,"2 449,000 DT",1,En stock
Portable Gamer MSI Thin 15 B13UDX ,[BU-B13UDX-2686XFR-W11P],Intel Core i5-13420H,RTX 3050,8 Go,512 Go,144 Hz,Gris Cosmos,"2 455,000 DT",2,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2607XFR-24-W11P],Intel Core i5-13420H,RTX 2050,24 Go,512 Go,144 Hz,Gris Cosmos,"2 455,000 DT",1,En stock
"PC Portable Gamer ASUS Vivobook 16X I5-13420H 16GB 512SSD RTX30504GO W11 16"" WUXGA SILVER",[K3605VC-RP488W-16-SS],Intel Core i5-13420H,RTX 3050 4,16 Go,512 Go,144 Hz,Silver,"2 485,000 DT",1,En stock
"PC Portable Gamer ASUS Vivobook 16X I5-13420H 16GB 512SSD RTX30504GO W11 16"" WUXGA BLACK",[K3605VC-RP405W-16-SS],Intel Core i5-13420H,RTX 3050 4,16 Go,512 Go,144 Hz,Noir,"2 485,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2606XFR-16-SS],Intel Core i7-13620H,RTX 2050,16 Go,512 Go,144 Hz,Gris Cosmos,"2 509,000 DT",1,En stock
PC Portable Gamer Lenovo LOQ 15IAX9E ,[83LK0075FG-2Y-32],Intel Core i5-12450HX,RTX 2050,32 Go,512 Go,144 Hz,Gris Luna,"2 509,000 DT",2,En stock
"PC Portable Gamer ASUS Vivobook 16X I5-13420H 16GB 512SSD RTX30504GO W11 16"" WUXGA SILVER + SAC A DOS",[K3605VC-RP488W-16],Intel Core i5-13420H,RTX 3050 4,16 Go,512 Go,144 Hz,Silver,"2 529,000 DT",1,En stock
"PC Portable Gamer ASUS Vivobook 16X I5-13420H 16GB 512SSD RTX30504GO W11 16"" WUXGA BLACK + SAC A DOS",[K3605VC-RP405W-16],Intel Core i5-13420H,RTX 3050 4,16 Go,512 Go,144 Hz,Noir,"2 529,000 DT",1,En stock
Pc Portable Gamer Lenovo LOQ 15IAX9 ,[83GS00UBFG-2Y],Intel Core i5-12600HX,RTX 3050,8 Go,512 Go,antireflet,Gris Luna,"2 529,000 DT",2,En stock
Pc Portable Gamer MSI Thin 15 B13UDX ,[B13UDX-3258XFR-16],Intel Core i5-13420H,RTX 3050,16 Go,512 Go,144 Hz,Gris Cosmos,"2 539,000 DT",1,En stock
PC Portable ASUS TUF Gaming A15 FA506NF ,[FA506NF-HN005W-24],AMD Ryzen 5,RTX 2050,24 Go,512 Go,N/A,Noir,"2 539,000 DT",1,En stock
Portable Gaming HP Victus Gaming 15-Fa2029nk ,[C65BCEA-16],Intel Core i7-13620H,RTX 2050,16 Go,512 Go,IPS,Argent mica,"2 549,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2607XFR-32-SS],Intel Core i5-13420H,RTX 2050,32 Go,512 Go,144 Hz,Gris Cosmos,"2 559,000 DT",1,En stock
PC Portable Gamer Lenovo LOQ 15IAX9E ,[83LK0075FG-2Y-32-W11P],Intel Core i5-12450HX,RTX 2050,32 Go,512 Go,144 Hz,Gris Luna,"2 559,000 DT",2,En stock
PC Portable Gamer Lenovo LOQ 15IAX9E ,[83LK006SFG-2Y-32],Intel Core i5-12450HX,RTX 2050,32 Go,512 Go,144 Hz,Gris Luna,"2 559,000 DT",2,En stock
